task,run,model,rmse,time,soft_wall_index,metadata
harmonic,5,Standard GP,0.941490880988252,0.11283421516418457,0.0,"{'formula': 'sin((x + cos(hypot(x, hypot(x, ((cos(hypot(-7.22, cos(hypot((x * x), hypot(x, x))))) + (abs(x) - tanh(x))) - x))))))'}"
harmonic,5,Huber Regression,1.7931772632855427,0.001985311508178711,0.0,"{'outliers': array([False, False, False, False, False, False, False, False,  True,         True, False, False, False, False, False, False,  True,  True,         True,  True,  True,  True,  True,  True, False, False, False,         True, False, False, False, False, False, False, False, False,        False, False, False, False])}"
harmonic,5,Gaussian Process,1.3702670022481807,0.7721507549285889,0.8529129432329036,"{'uncertainty': array([0.14961168, 0.41811484, 0.81287624, 0.93386943, 1.01235372,        1.03163516, 1.03635017, 1.04196042, 1.0457239 , 1.04663389])}"
harmonic,5,Epistemic Director,1.4547516704303851,0.591428279876709,0.0,"{'formula': 'sin((x + (x + hypot(hypot(hypot(x, x), tanh(-9.37)), hypot((-9.89 - 3.29), hypot(x, -0.00))))))'}"
harmonic,6,Standard GP,0.3681076546425801,0.12226676940917969,0.0,"{'formula': 'sin((sin(x) + cos(hypot(x, hypot(hypot(x, x), x)))))'}"
harmonic,6,Huber Regression,1.0977403154824075,0.0020008087158203125,0.0,"{'outliers': array([False, False, False, False, False, False, False,  True, False,         True, False,  True, False, False,  True,  True,  True,  True,         True,  True,  True,  True,  True,  True,  True, False, False,        False, False,  True, False, False, False, False, False, False,        False, False, False, False])}"
harmonic,6,Gaussian Process,1.0782468225861526,1.0789239406585693,0.8714004326768805,"{'uncertainty': array([0.26572549, 0.53780449, 0.53849863, 0.66553391, 0.68982738,        1.11211242, 1.19028961, 1.22213464, 1.23416117, 1.25791659])}"
harmonic,6,Epistemic Director,1.1186511704161404,0.514101505279541,0.0,"{'formula': 'sin(hypot((x - 9.53), abs((x * 1.73))))'}"
harmonic,7,Standard GP,1.0965724919217614,0.10662269592285156,0.0,"{'formula': 'sin(sin((hypot(x, 9.18) - x)))'}"
harmonic,7,Huber Regression,2.1012515438349366,0.002239227294921875,0.0,"{'outliers': array([False, False, False,  True,  True, False, False, False, False,         True,  True,  True,  True,  True,  True,  True,  True,  True,        False, False,  True,  True,  True, False, False, False, False,        False, False, False, False, False, False,  True, False, False,        False, False, False,  True])}"
harmonic,7,Gaussian Process,0.188984364490542,0.8473963737487793,0.30839480549336734,"{'uncertainty': array([0.13437656, 0.13704544, 0.16502411, 0.17985628, 0.22688896,        0.25487885, 0.34154754, 0.36381904, 0.51630255, 0.76420871])}"
harmonic,7,Epistemic Director,0.6737340452809628,16.37880039215088,0.0,{'formula': 'sin((cos((x + x)) + cos((x + -1.46))))'}
harmonic,8,Standard GP,0.9571887947269474,0.1047677993774414,0.0,{'formula': 'sin((x + cos((abs(x) - (x + x)))))'}
harmonic,8,Huber Regression,2.2589665823584277,0.002065420150756836,0.0,"{'outliers': array([False, False,  True,  True,  True, False, False, False,  True,         True,  True,  True,  True,  True,  True,  True,  True, False,        False, False, False, False, False,  True, False, False, False,        False, False, False, False, False, False, False, False, False,        False, False, False,  True])}"
harmonic,8,Gaussian Process,0.21107251812279687,0.8009366989135742,0.46393958033825344,"{'uncertainty': array([0.16056868, 0.26366649, 0.31447581, 0.32646309, 0.39171602,        0.40933557, 0.43830868, 0.49836904, 0.8196498 , 1.01684262])}"
harmonic,8,Epistemic Director,1.5928670084682384,1.7804818153381348,0.0,{'formula': 'sin((0.00 * ((x + -0.68) + cos(x))))'}
harmonic,9,Standard GP,0.6634772242660539,0.11569571495056152,0.0,"{'formula': 'sin((cos(hypot(x, (-2.56 * x))) + x))'}"
harmonic,9,Huber Regression,0.9516987062954367,0.00211334228515625,0.0,"{'outliers': array([False, False, False, False,  True,  True,  True,  True,  True,         True, False, False, False,  True,  True,  True,  True,  True,         True,  True,  True,  True,  True, False, False, False, False,        False, False, False, False, False, False, False, False, False,        False, False, False, False])}"
harmonic,9,Gaussian Process,0.8422629104150884,1.3362987041473389,0.7523125809620399,"{'uncertainty': array([0.18904004, 0.24844973, 0.53758962, 0.83997274, 0.86129859,        0.92127989, 0.93792997, 0.95689485, 1.01117619, 1.01949418])}"
harmonic,9,Epistemic Director,1.2747504655843045,17.30234456062317,0.0,{'formula': '(x - (x + (cos((-32.10 + ((sin(12.88) * cos((sin(cos(x)) * ((2.35 * -2.01) + x)))) + (x + x)))) - sin(x))))'}
chaotic,0,Standard GP,0.07088095407767567,0.09595704078674316,0.0,{'formula': 'sin((x * x))'}
chaotic,0,Huber Regression,0.9206858274063325,0.002178192138671875,0.0,"{'outliers': array([False, False,  True,  True, False, False,  True, False, False,        False,  True, False, False, False, False,  True, False,  True,         True, False, False, False,  True,  True, False, False, False,        False, False, False, False, False, False, False, False, False,        False, False, False,  True])}"
chaotic,0,Gaussian Process,0.750503110161461,0.8336896896362305,0.7492145784144535,"{'uncertainty': array([0.59572596, 0.76626425, 0.76626945, 0.76626945, 0.76626945,        0.76626945, 0.76626945, 0.76626945, 0.76626945, 0.76626945])}"
chaotic,0,Epistemic Director,0.7695537001333236,21.369274377822876,0.0,{'formula': '(sin(-9.46) * (sin((x * x)) + sin((x - cos(9.47)))))'}
chaotic,1,Standard GP,0.06407722602333048,0.12975335121154785,0.0,{'formula': 'sin(((x * x) - (x * tanh((x - x)))))'}
chaotic,1,Huber Regression,0.8488658056294539,0.0022847652435302734,0.0,"{'outliers': array([ True, False, False,  True,  True, False,  True,  True,  True,         True,  True, False, False, False,  True,  True, False, False,        False, False, False, False, False, False, False, False, False,        False,  True,  True, False, False, False, False,  True, False,         True,  True, False, False])}"
chaotic,1,Gaussian Process,0.674510018186335,0.48105573654174805,0.5959247713172046,"{'uncertainty': array([0.14125859, 0.61201847, 0.61432723, 0.65194947, 0.65341422,        0.65725595, 0.65725595, 0.65725595, 0.65725595, 0.65725595])}"
chaotic,1,Epistemic Director,0.7018703730515962,8.728200435638428,0.0,{'formula': '(sin((sin(cos((-12.83 - x))) + (x * x))) * cos(11.02))'}
chaotic,2,Standard GP,0.10578532531638951,0.1111302375793457,0.0,{'formula': 'sin((((x * x) + x) - x))'}
chaotic,2,Huber Regression,0.8975348280057743,0.0021500587463378906,0.0,"{'outliers': array([False,  True,  True, False, False, False, False, False,  True,         True, False, False,  True, False, False,  True, False, False,        False, False, False, False, False, False, False, False,  True,         True,  True, False, False,  True, False, False,  True, False,        False, False,  True, False])}"
chaotic,2,Gaussian Process,0.8506833384783015,1.9735827445983887,0.8090929943139281,"{'uncertainty': array([0.65472251, 0.77843654, 0.81699289, 0.81747283, 0.81983666,        0.84069287, 0.84069389, 0.84069391, 0.84069391, 0.84069391])}"
chaotic,2,Epistemic Director,0.7686288879602717,2.0477871894836426,0.0,{'formula': '(-0.03 * sin(sin(sin(((x * 1.74) * x)))))'}
chaotic,3,Standard GP,0.08964085181870546,0.11256217956542969,0.0,{'formula': 'sin((x * x))'}
chaotic,3,Huber Regression,0.9566027510855587,0.0023741722106933594,0.0,"{'outliers': array([ True, False, False,  True,  True, False, False, False, False,         True,  True, False, False, False, False, False,  True,  True,         True, False,  True, False, False, False, False, False, False,        False, False, False, False, False, False,  True, False, False,        False,  True,  True, False])}"
chaotic,3,Gaussian Process,0.7025288805935854,0.97214674949646,0.7296152713706119,"{'uncertainty': array([0.72960112, 0.72961504, 0.72961703, 0.72961708, 0.72961708,        0.72961708, 0.72961708, 0.72961708, 0.72961708, 0.72961708])}"
chaotic,3,Epistemic Director,0.9970910047704151,14.263635158538818,0.0,{'formula': '(cos(1.99) * cos(((x * x) + 1524.83)))'}
chaotic,4,Standard GP,0.09049279413214308,0.13408803939819336,0.0,{'formula': 'sin((x * x))'}
chaotic,4,Huber Regression,0.9360744319645525,0.0024111270904541016,0.0,"{'outliers': array([ True, False,  True,  True, False, False, False,  True,  True,        False, False, False,  True, False,  True, False, False, False,         True,  True,  True, False, False, False,  True,  True,  True,        False, False, False, False, False, False, False, False, False,        False,  True, False, False])}"
chaotic,4,Gaussian Process,0.6584558591639015,1.0772671699523926,0.7599039086746024,"{'uncertainty': array([0.63111746, 0.76411433, 0.77547591, 0.77547591, 0.77547591,        0.77547591, 0.77547591, 0.77547591, 0.77547591, 0.77547591])}"
chaotic,4,Epistemic Director,0.7190774805285906,1.2915234565734863,0.0,{'formula': '((cos(tanh(x)) + ((x - x) * (x * x))) + tanh(-0.53))'}
chaotic,5,Standard GP,0.06998945014855487,0.13188862800598145,0.0,{'formula': 'sin((x * x))'}
chaotic,5,Huber Regression,0.565453405770645,0.010698080062866211,0.0,"{'outliers': array([False, False, False, False,  True,  True, False, False, False,        False, False, False, False, False, False, False,  True,  True,        False, False,  True,  True,  True,  True,  True, False, False,        False, False, False, False, False,  True, False, False, False,         True,  True,  True, False])}"
chaotic,5,Gaussian Process,0.5885736550436401,1.0745799541473389,0.6233801795113234,"{'uncertainty': array([0.14349156, 0.67057693, 0.67746666, 0.67746666, 0.67746666,        0.67746666, 0.67746666, 0.67746666, 0.67746666, 0.67746666])}"
chaotic,5,Epistemic Director,0.16833051520698356,13.774055480957031,0.0,{'formula': 'sin((sin(sin((x * x))) * cos(cos((-10.16 - x)))))'}
chaotic,6,Standard GP,0.06405650948944405,0.11455154418945312,0.0,{'formula': 'sin((x * x))'}
chaotic,6,Huber Regression,0.8847752898317439,0.002223491668701172,0.0,"{'outliers': array([ True, False, False,  True,  True,  True,  True, False, False,        False,  True, False,  True, False,  True,  True,  True, False,        False, False, False, False, False, False, False, False, False,        False, False, False, False, False, False, False, False, False,        False, False,  True,  True])}"
chaotic,6,Gaussian Process,0.8125136743920036,1.0370948314666748,0.8057770066005565,"{'uncertainty': array([0.74568437, 0.8124281 , 0.8124289 , 0.81246106, 0.81246121,        0.81246129, 0.81246129, 0.81246129, 0.81246129, 0.81246129])}"
chaotic,6,Epistemic Director,0.8302413867584671,1.4393672943115234,0.0,"{'formula': 'tanh((cos(sin(cos(hypot(4.78, hypot(tanh((x + x)), x))))) + -0.74))'}"
chaotic,7,Standard GP,0.10659786745808639,0.1289358139038086,0.0,{'formula': 'sin((x * x))'}
